w_word1,w_word2,w_corrAns,w_category,word1,word2,corrAns,category,w_hword1,w_hword2,w_hcorrAns,w_hcategory,hword1,hword2,hcorrAns,hcategory,enwarmuptrials.thisRepN,enwarmuptrials.thisTrialN,enwarmuptrials.thisN,enwarmuptrials.thisIndex,en_trials.thisRepN,en_trials.thisTrialN,en_trials.thisN,en_trials.thisIndex,hiwarmuptrials.thisRepN,hiwarmuptrials.thisTrialN,hiwarmuptrials.thisN,hiwarmuptrials.thisIndex,hi_trials.thisRepN,hi_trials.thisTrialN,hi_trials.thisN,hi_trials.thisIndex,eninstrstim.started,eninstrstim.stopped,enkbinstr.keys,enkbinstr.corr,enkbinstr.rt,enkbinstr.started,enkbinstr.stopped,enwarmupw1.started,enwarmupw1.stopped,enwarmupw2.started,enwarmupw2.stopped,enwarmupkb.keys,enwarmupkb.corr,enwarmupkb.rt,enwarmupkb.started,enwarmupkb.stopped,restresp.keys,restresp.started,restresp.stopped,startexpprompt.started,startexpprompt.stopped,startexpkbresp.keys,startexpkbresp.rt,startexpkbresp.started,startexpkbresp.stopped,entrialw1.started,entrialw1.stopped,entrialw2.started,entrialw2.stopped,enkbresp.keys,enkbresp.corr,enkbresp.rt,enkbresp.started,enkbresp.stopped,hiinstrstim.started,hiinstrstim.stopped,hikbinstr.keys,hikbinstr.corr,hikbinstr.rt,hikbinstr.started,hikbinstr.stopped,hiwarmupw1.started,hiwarmupw1.stopped,hiwarmupw2.started,hiwarmupw2.stopped,hiwarmupkb.keys,hiwarmupkb.corr,hiwarmupkb.rt,hiwarmupkb.started,hiwarmupkb.stopped,hitrialw1.started,hitrialw1.stopped,hitrialw2.started,hitrialw2.stopped,hikbresp.keys,hikbresp.corr,hikbresp.rt,hikbresp.started,hikbresp.stopped,hiskill.text,hiskill.started,hiskill.stopped,hirespskill.keys,hirespskill.rt,hirespskill.started,hirespskill.stopped,enskill_2.text,enskill_2.started,enskill_2.stopped,enrespskill_2.keys,enrespskill_2.rt,enrespskill_2.started,enrespskill_2.stopped,thankstext.started,thankstext.stopped,participant,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.15528527200513,None,right,0,19.459187676009606,16.15528527200513,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
fite,crack,left,4,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,35.63594053100678,None,35.63594053100678,None,right,0,3.0719831510068616,35.63594053100678,None,None,38.70982018799987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
sun,cepy,left,5,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,39.21353790500143,None,39.21353790500143,None,right,0,4.745851842002594,39.21353790500143,None,None,43.960854632998235,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
whistle,england,right,2,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,44.46416384300392,None,44.46416384300392,None,right,1,3.0935302849975415,44.46416384300392,None,None,47.559151902998565,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
mick,lofy,left,3,,,,,,,,,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,48.06240570799855,None,48.06240570799855,None,left,1,2.9808477199985646,48.06240570799855,None,None,51.04471864500374,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
ash,ashtray,right,1,,,,,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,51.548014985004556,None,51.548014985004556,None,left,0,1.780104945995845,51.548014985004556,None,None,53.329993132007075,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.83145878900541,None,right,2.4339726220059674,53.83145878900541,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,56.266272344000754,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,quantity,beautiful,right,2,,,,,,,,,,,,,0,0,0,30,,,,,,,,,,,,,,,,,,,,,,,,,None,58.29133894300321,None,,,,,,,56.815034829007345,None,56.815034829007345,None,right,1,1.4742775409977185,56.815034829007345,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,imhge,eyes,left,4,,,,,,,,,,,,,0,1,1,75,,,,,,,,,,,,,,,,,,,,,,,,,None,60.14255955899716,None,,,,,,,58.79488341700926,None,58.79488341700926,None,left,1,1.346192354001687,58.79488341700926,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,policeman,cop,right,1,,,,,,,,,,,,,0,2,2,18,,,,,,,,,,,,,,,,,,,,,,,,,None,62.712573737007915,None,,,,,,,60.64645001699682,None,60.64645001699682,None,right,1,2.064636215000064,60.64645001699682,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,adventure,bnat,left,5,,,,,,,,,,,,,0,3,3,62,,,,,,,,,,,,,,,,,,,,,,,,,None,65.02786568700685,None,,,,,,,63.224747401996865,None,63.224747401996865,None,left,1,1.8016091550089186,63.224747401996865,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,valuabzr,additkos,left,3,,,,,,,,,,,,,0,4,4,42,,,,,,,,,,,,,,,,,,,,,,,,,None,67.4186811039981,None,,,,,,,65.53805456199916,None,65.53805456199916,None,left,1,1.8790841900045052,65.53805456199916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,lobster,crab,right,1,,,,,,,,,,,,,0,5,5,19,,,,,,,,,,,,,,,,,,,,,,,,,None,69.11966760799987,None,,,,,,,67.92218502600736,None,67.92218502600736,None,right,1,1.195946396997897,67.92218502600736,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,busy,bored,right,1,,,,,,,,,,,,,0,6,6,11,,,,,,,,,,,,,,,,,,,,,,,,,None,70.6940445079963,None,,,,,,,69.62359505600762,None,69.62359505600762,None,right,1,1.0689130290120374,69.62359505600762,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,ucter,arks,left,3,,,,,,,,,,,,,0,7,7,46,,,,,,,,,,,,,,,,,,,,,,,,,None,72.58915420800622,None,,,,,,,71.19796783500351,None,71.19796783500351,None,left,1,1.3896547089971136,71.19796783500351,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,aczreis,duty,left,4,,,,,,,,,,,,,0,8,8,67,,,,,,,,,,,,,,,,,,,,,,,,,None,74.44375549400866,None,,,,,,,73.09245594599633,None,73.09245594599633,None,left,1,1.349715775999357,73.09245594599633,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,fury,beginner,right,2,,,,,,,,,,,,,0,9,9,32,,,,,,,,,,,,,,,,,,,,,,,,,None,76.44543893399532,None,,,,,,,74.94776502800232,None,74.94776502800232,None,right,1,1.4961055369931273,74.94776502800232,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,region,blame,right,2,,,,,,,,,,,,,0,10,10,35,,,,,,,,,,,,,,,,,,,,,,,,,None,77.93479656000272,None,,,,,,,76.94936265599972,None,76.94936265599972,None,right,1,0.9838913599960506,76.94936265599972,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,contract,bar,right,2,,,,,,,,,,,,,0,11,11,27,,,,,,,,,,,,,,,,,,,,,,,,,None,79.35667823800759,None,,,,,,,78.43854905699845,None,78.43854905699845,None,right,1,0.916594301990699,78.43854905699845,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,bow,arrow,right,1,,,,,,,,,,,,,0,12,12,5,,,,,,,,,,,,,,,,,,,,,,,,,None,80.71828621299937,None,,,,,,,79.86027091600408,None,79.86027091600408,None,right,1,0.856488249002723,79.86027091600408,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
